name,type,typecode,address,pname,cityname,adname,gcj02_lon,gcj02_lat,wgs84_lon,wgs84_lat
卢各庄村篮球场,体育休闲服务;运动场馆;篮球场馆,80104,太师屯镇附近清水河南路129号,北京市,北京市,密云区,117.129753,40.528855,117.123147,40.52733048
精灵谷度假村游泳馆,体育休闲服务;运动场馆;游泳馆,80110,琉辛路73附近,北京市,北京市,密云区,116.788117,40.597306,116.7819603,40.59594213
云佛山滑雪场,体育休闲服务;运动场馆;滑雪场,80106,溪翁庄镇,北京市,北京市,密云区,116.881535,40.473915,116.8755372,40.47276293
密云水库内部篮球场,体育休闲服务;运动场馆;篮球场馆,80104,密云水库白河主坝西侧,北京市,北京市,密云区,116.835928,40.48919,116.8298671,40.48796489
力力争足球训练基地,体育休闲服务;运动场馆;足球场,80105,檀营乡冶仙塔风景区往东100米路南,北京市,北京市,密云区,116.874372,40.399218,116.8683789,40.39808891
北京一六一中学密云分校体育馆,体育休闲服务;运动场馆;综合体育馆,80101,[],北京市,北京市,密云区,116.888465,40.391147,116.8824798,40.39003219
北京张裕斐血爱廾堡国际酒庄-篮球场,体育休闲服务;运动场馆;篮球场馆,80104,解百纳路,北京市,北京市,密云区,116.900919,40.378487,116.8949329,40.37738005
北京张裕爱斐堡国际酒庄-篮球场,体育休闲服务;运动场馆;篮球场馆,80104,密三路与宁菜路交叉口北京张裕爱斐堡国际酒庄,北京市,北京市,密云区,116.900919,40.378487,116.8949329,40.37738005
首云国家矿山公园篮球场,体育休闲服务;运动场馆;篮球场馆,80104,矿区路附近,北京市,北京市,密云区,117.009183,40.364678,117.0028528,40.36336051
鱼乐贝贝游泳馆(密云新中街店),体育休闲服务;运动场馆;游泳馆,80110,新中街37号物美超市内,北京市,北京市,密云区,116.852104,40.38269,116.8460851,40.38153575
密云区职业学校体育馆,体育休闲服务;运动场馆;综合体育馆,80101,新北路和开元西街二条的交叉口附近,北京市,北京市,密云区,116.828239,40.389029,116.8221762,40.38782972
超能星球少儿智能运动馆(朗福广场校区),体育休闲服务;运动场馆;综合体育馆,80101,朗福儿童广场2层,北京市,北京市,密云区,116.859183,40.377808,116.8531754,40.37666652
云西缘游泳场,体育休闲服务;运动场馆;游泳馆,80110,010县道,北京市,北京市,密云区,116.778926,40.401857,116.7727852,40.40057549
龙圣天扬青少年室内篮球馆,体育休闲服务;运动场馆;篮球场馆,80104,果园西路(唐源·云居南侧约150米),北京市,北京市,密云区,116.824887,40.381442,116.8188188,40.38023898
乒吧部落,体育休闲服务;运动场馆;乒乓球馆,80112,果园西路11号,北京市,北京市,密云区,116.824623,40.381521,116.8185543,40.38031746
龙美天扬篮球训练营,体育休闲服务;运动场馆;篮球场馆,80104,果园西路唐源·云居南侧约90米,北京市,北京市,密云区,116.824789,40.381461,116.8187206,40.38025779
龙圣天成足球场办公室,体育休闲服务;运动场馆;足球场,80105,果园西区11号院,北京市,北京市,密云区,116.826111,40.380781,116.8200452,40.37958049
